code,tên bệnh VI,tên bệnh EN,synonym
E84,Xơ nang,Cystic fibrosis,xo nang
E84.0,Xơ nang kèm biểu hiện tại phổi,Cystic fibrosis with pulmonary manifestations,xo nang | xo nang kem bieu hien tai phoi | xơ nang
E84.1,Xơ nang kèm biểu hiện tại ruột,Cystic fibrosis with intestinal manifestations,xo nang | xo nang kem bieu hien tai ruot | xơ nang
E84.8,Xơ nang với các biểu hiện khác,Cystic fibrosis with other manifestations,xo nang | xo nang voi cac bieu hien khac | xơ nang
E84.9,"Xơ nang, không đặc hiệu","Cystic fibrosis, unspecified","xo nang | xo nang, khong dac hieu | xơ nang"
E85,Thoái hóa dạng bột,Amyloidosis,thoai hoa dang bot
E85.0,thoái hóa dạng bột mang tính di truyền gia đình không có bệnh lý thần kinh,Non-neuropathic heredofamilial amyloidosis,thoai hoa dang bot | thoai hoa dang bot mang tinh di truyen gia dinh khong co benh ly than kinh | thoái hóa dạng bột
E85.1,"thoái hóa dạng bột mang tính di truyền gia đình, có bệnh lý thần kinh",Neuropathic heredofamilial amyloidosis,"thoai hoa dang bot | thoai hoa dang bot mang tinh di truyen gia dinh, co benh ly than kinh | thoái hóa dạng bột"
E85.2,"thoái hóa dạng bột mang tính di truyền gia đình, không đặc hiệu","Heredofamilial amyloidosis, unspecified","thoai hoa dang bot | thoai hoa dang bot mang tinh di truyen gia dinh, khong dac hieu | thoái hóa dạng bột"
E85.3,thoái hóa dạng bột toàn thân thứ phát,Secondary systemic amyloidosis,thoai hoa dang bot | thoai hoa dang bot toan than thu phat | thoái hóa dạng bột
E85.4,thoái hóa dạng bột giới hạn ở cơ quan,Organ-limited amyloidosis,thoai hoa dang bot | thoai hoa dang bot gioi han o co quan | thoái hóa dạng bột
E85.8,thoái hóa dạng bột khác,Other amyloidosis,thoai hoa dang bot | thoai hoa dang bot khac | thoái hóa dạng bột
E85.9,"thoái hóa dạng bột, không đặc hiệu","Amyloidosis, unspecified","thoai hoa dang bot | thoai hoa dang bot, khong dac hieu | thoái hóa dạng bột"
E86,Giảm thể tích,Volume depletion,giam the tich
E87,"Rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan","Other disorders of fluid, electrolyte and acid-base balance","roi loan can bang nuoc, dien giai va thang bang kiem toan"
E87.0,Tăng áp suất thẩm thấu và tăng natri máu,Hyperosmolality and hypernatraemia,"roi loan can bang nuoc, dien giai va thang bang kiem toan | rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan | tang ap suat tham thau va tang natri mau"
E87.1,Giảm áp suất thẩm thấu và giảm Na máu,Hypo-osmolality and hyponatraemia,"giam ap suat tham thau va giam na mau | roi loan can bang nuoc, dien giai va thang bang kiem toan | rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan"
E87.2,Nhiễm toan,Acidosis,"nhiem toan | roi loan can bang nuoc, dien giai va thang bang kiem toan | rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan"
E87.3,Nhiễm kiềm,Alkalosis,"nhiem kiem | roi loan can bang nuoc, dien giai va thang bang kiem toan | rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan"
E87.4,Rối loạn cân bằng kiềm toan phối hợp,Mixed disorder of acid-base balance,"roi loan can bang kiem toan phoi hop | roi loan can bang nuoc, dien giai va thang bang kiem toan | rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan"
E87.5,Tăng kali máu,Hyperkalaemia,"roi loan can bang nuoc, dien giai va thang bang kiem toan | rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan | tang kali mau"
E87.6,Hạ kali máu,Hypokalaemia,"ha kali mau | roi loan can bang nuoc, dien giai va thang bang kiem toan | rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan"
E87.7,Quá tải dịch,Fluid overload,"qua tai dich | roi loan can bang nuoc, dien giai va thang bang kiem toan | rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan"
E87.8,"Rối loạn khác về cân bằng điện giải và nước, chưa được phân loại ở phần khác","Other disorders of electrolyte and fluid balance, not elsewhere classified","roi loan can bang nuoc, dien giai va thang bang kiem toan | roi loan khac ve can bang dien giai va nuoc, chua duoc phan loai o phan khac | rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan"
E88,Rối loạn chuyển hóa khác,Other metabolic disorders,roi loan chuyen hoa khac
E88.0,"Rối loạn chuyển hóa protein huyết tương, chưa được phân loại ở phần khác","Disorders of plasma-protein metabolism, not elsewhere classified","roi loan chuyen hoa khac | roi loan chuyen hoa protein huyet tuong, chua duoc phan loai o phan khac | rối loạn chuyển hóa khác"
E88.1,"Loạn dưỡng mỡ, chưa được phân loại ở phần khác","Lipodystrophy, not elsewhere classified","loan duong mo, chua duoc phan loai o phan khac | roi loan chuyen hoa khac | rối loạn chuyển hóa khác"
E88.2,"Bệnh u mỡ, chưa được phân loại ở phần khác","Lipomatosis, not elsewhere classified","benh u mo, chua duoc phan loai o phan khac | roi loan chuyen hoa khac | rối loạn chuyển hóa khác | u mo, chua duoc phan loai o phan khac | u mỡ, chưa được phân loại ở phần khác"
E88.3,Hội chứng ly giải khối u,Tumour lysis syndrome,hoi chung ly giai khoi u | roi loan chuyen hoa khac | rối loạn chuyển hóa khác
E88.8,Rối loạn chuyển hóa xác định khác,Other specified metabolic disorders,roi loan chuyen hoa khac | roi loan chuyen hoa xac dinh khac | rối loạn chuyển hóa khác
E88.9,"Rối loạn chuyển hóa, không đặc hiệu","Metabolic disorder, unspecified","roi loan chuyen hoa khac | roi loan chuyen hoa, khong dac hieu | rối loạn chuyển hóa khác"
E89,"Rối loạn nội tiết và chuyển hóa sau điều trị, chưa được phân loại ở phần khác","Postprocedural endocrine and metabolic disorders, not elsewhere classified","roi loan noi tiet va chuyen hoa sau dieu tri, chua duoc phan loai o phan khac"
E89.0,Suy giáp sau điều trị,Postprocedural hypothyroidism,"roi loan noi tiet va chuyen hoa sau dieu tri, chua duoc phan loai o phan khac | rối loạn nội tiết và chuyển hóa sau điều trị, chưa được phân loại ở phần khác | suy giap sau dieu tri"
E89.1,Hạ insulin máu sau điều trị,Postprocedural hypoinsulinaemia,"ha insulin mau sau dieu tri | roi loan noi tiet va chuyen hoa sau dieu tri, chua duoc phan loai o phan khac | rối loạn nội tiết và chuyển hóa sau điều trị, chưa được phân loại ở phần khác"
E89.2,Suy cận giáp sau điều trị,Postprocedural hypoparathyroidism,"roi loan noi tiet va chuyen hoa sau dieu tri, chua duoc phan loai o phan khac | rối loạn nội tiết và chuyển hóa sau điều trị, chưa được phân loại ở phần khác | suy can giap sau dieu tri"
E89.3,Suy tuyến yên sau điều trị,Postprocedural hypopituitarism,"roi loan noi tiet va chuyen hoa sau dieu tri, chua duoc phan loai o phan khac | rối loạn nội tiết và chuyển hóa sau điều trị, chưa được phân loại ở phần khác | suy tuyen yen sau dieu tri"
E89.4,Suy buồng trứng sau điều trị,Postprocedural ovarian failure,"roi loan noi tiet va chuyen hoa sau dieu tri, chua duoc phan loai o phan khac | rối loạn nội tiết và chuyển hóa sau điều trị, chưa được phân loại ở phần khác | suy buong trung sau dieu tri"
E89.5,Suy tinh hoàn sau điều trị,Postprocedural testicular hypofunction,"roi loan noi tiet va chuyen hoa sau dieu tri, chua duoc phan loai o phan khac | rối loạn nội tiết và chuyển hóa sau điều trị, chưa được phân loại ở phần khác | suy tinh hoan sau dieu tri"
E89.6,Suy vỏ (-tủy) thượng thận sau điều trị,Postprocedural adrenocortical(-medullary) hypofunction,"roi loan noi tiet va chuyen hoa sau dieu tri, chua duoc phan loai o phan khac | rối loạn nội tiết và chuyển hóa sau điều trị, chưa được phân loại ở phần khác | suy vo (-tuy) thuong than sau dieu tri"
E89.8,Rối loạn nội tiết và chuyển hóa sau điều trị khác,Other postprocedural endocrine and metabolic disorders,"roi loan noi tiet va chuyen hoa sau dieu tri khac | roi loan noi tiet va chuyen hoa sau dieu tri, chua duoc phan loai o phan khac | rối loạn nội tiết và chuyển hóa sau điều trị, chưa được phân loại ở phần khác"
E89.9,"Rối loạn nội tiết và chuyển hóa sau điều trị, không đặc hiệu","Postprocedural endocrine and metabolic disorder, unspecified","roi loan noi tiet va chuyen hoa sau dieu tri, chua duoc phan loai o phan khac | roi loan noi tiet va chuyen hoa sau dieu tri, khong dac hieu | rối loạn nội tiết và chuyển hóa sau điều trị, chưa được phân loại ở phần khác"
E90,Rối loạn chuyển hóa và dinh dưỡng trong các bệnh đã được phân loại ở phần khác,Nutritional and metabolic disorders in disease classified elsewhere,roi loan chuyen hoa va dinh duong trong cac benh da duoc phan loai o phan khac
E90*,Rối loạn chuyển hóa và dinh dưỡng trong các bệnh đã được phân loại ở phần khác,Nutritional and metabolic disorders in disease classified elsewhere,roi loan chuyen hoa va dinh duong trong cac benh da duoc phan loai o phan khac
F00,Sa sút trí tuệ trong bệnh Alzheimer (G30.-†),Dementia in Alzheimer s diseaseG30.-,sa sut tri tue trong benh alzheimer (g30.-†)
F00*,Sa sút trí tuệ trong bệnh Alzheimer (G30.-†),Dementia in Alzheimer s disease G30.-†),sa sut tri tue trong benh alzheimer (g30.-†)
F00.0*,Sa sút trí tuệ trong bệnh Alzheimer khởi phát sớm (G30.0†),Dementia in Alzheimer s disease with early onset (G30.0†),sa sut tri tue trong benh alzheimer (g30.-†) | sa sut tri tue trong benh alzheimer khoi phat som (g30.0†) | sa sút trí tuệ trong bệnh alzheimer (g30.-†)
F00.1*,Sa sút trí tuệ trong bệnh Alzheimer khởi phát muộn (G30.1†),Dementia in Alzheimer s disease with late onset (G30.1†),sa sut tri tue trong benh alzheimer (g30.-†) | sa sut tri tue trong benh alzheimer khoi phat muon (g30.1†) | sa sút trí tuệ trong bệnh alzheimer (g30.-†)
F00.2*,"Sa sút trí tuệ trong bệnh Alzheimer, thể không điển hình hoặc thể hỗn hợp (G30.8†)","Dementia in Alzheimer s disease, atypical or mixed type (G30.8†)","sa sut tri tue trong benh alzheimer (g30.-†) | sa sut tri tue trong benh alzheimer, the khong dien hinh hoac the hon hop (g30.8†) | sa sút trí tuệ trong bệnh alzheimer (g30.-†)"
F00.9*,"Sa sút trí tuệ trong bệnh Alzheimer, không xác định (G30.9†)","Dementia in Alzheimer s disease, unspecified (G30.9†)","sa sut tri tue trong benh alzheimer (g30.-†) | sa sut tri tue trong benh alzheimer, khong xac dinh (g30.9†) | sa sút trí tuệ trong bệnh alzheimer (g30.-†)"
F01,Sa sút trí tuệ do nguyên nhân mạch,Vascular dementia,sa sut tri tue do nguyen nhan mach
F01.0,"Sa sút trí tuệ do nguyên nhân mạch, khởi động cấp",Vascular dementia of acute onset,"sa sut tri tue do nguyen nhan mach | sa sut tri tue do nguyen nhan mach, khoi dong cap | sa sút trí tuệ do nguyên nhân mạch"
F01.1,Sa sút trí tuệ do nhồi máu đa ổ,Multi-infarct dementia,sa sut tri tue do nguyen nhan mach | sa sut tri tue do nhoi mau da o | sa sút trí tuệ do nguyên nhân mạch
F01.2,Sa sút trí tuệ do nguyên nhân mạch trong bệnh mạch máu dưới vỏ,Subcortical vascular dementia,sa sut tri tue do nguyen nhan mach | sa sut tri tue do nguyen nhan mach trong benh mach mau duoi vo | sa sút trí tuệ do nguyên nhân mạch
F01.3,Sa sút trí tuệ do nguyên nhân mạch trong bệnh mạch máu hỗn hợp vỏ não và dưới vỏ,Mixed cortical and subcortical vascular dementia,sa sut tri tue do nguyen nhan mach | sa sut tri tue do nguyen nhan mach trong benh mach mau hon hop vo nao va duoi vo | sa sút trí tuệ do nguyên nhân mạch
F01.8,Sa sút trí tuệ do nguyên nhân mạch khác,Other vascular dementia,sa sut tri tue do nguyen nhan mach | sa sut tri tue do nguyen nhan mach khac | sa sút trí tuệ do nguyên nhân mạch
F01.9,"Sa sút trí tuệ, không biệt định","Vascular dementia, unspecified","sa sut tri tue do nguyen nhan mach | sa sut tri tue, khong biet dinh | sa sút trí tuệ do nguyên nhân mạch"
F02,Sa sút trí tuệ trong các bệnh khác đã được xếp loại ở chỗ khác,Dementia in other diseases classified elsewhere,sa sut tri tue trong cac benh khac da duoc xep loai o cho khac
F02*,Sa sút trí tuệ trong các bệnh khác đã được phân loại ở nơi khác,Dementia in other diseases classified elsewhere,sa sut tri tue trong cac benh khac da duoc phan loai o noi khac
F02.0*,Sa sút trí tuệ trong bệnh Pick (G31.0†),Dementia in Pick s disease (G31.0†),sa sut tri tue trong benh pick (g31.0†) | sa sut tri tue trong cac benh khac da duoc xep loai o cho khac | sa sút trí tuệ trong các bệnh khác đã được xếp loại ở chỗ khác
F02.1*,Sa sút trí tuệ trong bệnh Creutzfeldt-Jakob (A81.0†),Dementia in Creutzfeldt-Jakob disease (A81.0†),sa sut tri tue trong benh creutzfeldt-jakob (a81.0†) | sa sut tri tue trong cac benh khac da duoc xep loai o cho khac | sa sút trí tuệ trong các bệnh khác đã được xếp loại ở chỗ khác
F02.2*,Sa sút trí tuệ trong bệnh Huntington (G10†),Dementia in Huntington s disease (G10†),sa sut tri tue trong benh huntington (g10†) | sa sut tri tue trong cac benh khac da duoc xep loai o cho khac | sa sút trí tuệ trong các bệnh khác đã được xếp loại ở chỗ khác
F02.3*,Sa sút trí tuệ trong bệnh Parkinson (G20†),Dementia in Parkinson s disease (G20†),sa sut tri tue trong benh parkinson (g20†) | sa sut tri tue trong cac benh khac da duoc xep loai o cho khac | sa sút trí tuệ trong các bệnh khác đã được xếp loại ở chỗ khác
F02.4*,Sa sút trí tuệ trong bệnh (HIV) nhiễm virus gây suy giảm miễn dịch ở người (B22.0†),Dementia in human immunodeficiency virus [HIV] disease (B22.0†),sa sut tri tue trong benh (hiv) nhiem virus gay suy giam mien dich o nguoi (b22.0†) | sa sut tri tue trong cac benh khac da duoc xep loai o cho khac | sa sút trí tuệ trong các bệnh khác đã được xếp loại ở chỗ khác
F02.8*,Sa sút trí tuệ trong các bệnh lý đặc biệt khác đã được phân loại ở nơi khác,Dementia in other specified diseases classified elsewhere,sa sut tri tue trong cac benh khac da duoc xep loai o cho khac | sa sut tri tue trong cac benh ly dac biet khac da duoc phan loai o noi khac | sa sút trí tuệ trong các bệnh khác đã được xếp loại ở chỗ khác
F03,Sa sút trí tuệ không biệt định,Unspecified dementia,sa sut tri tue khong biet dinh
F04,Hội chứng quên thực tổn không do rượu và chất tác động tâm thần khác,"Organic amnesic syndrome, not induced by alcohol and other psychoative substances",hoi chung quen thuc ton khong do ruou va chat tac dong tam than khac
F05,Sảng không do rượu và chất tác động tâm thần khác,"Delirium, not induced by alcohol and other psychoactive substances",sang khong do ruou va chat tac dong tam than khac
F05.0,"Sảng không gối lên sa sút trí tuệ, như đã mô tả","Delirium not superimposed on dementia, so described","sang khong do ruou va chat tac dong tam than khac | sang khong goi len sa sut tri tue, nhu da mo ta | sảng không do rượu và chất tác động tâm thần khác"
F05.1,Sảng gối lên sa sút trí tuệ,Delirium superimposed on dementia,sang goi len sa sut tri tue | sang khong do ruou va chat tac dong tam than khac | sảng không do rượu và chất tác động tâm thần khác
F05.8,Sảng khác,Other delirium,sang khac | sang khong do ruou va chat tac dong tam than khac | sảng không do rượu và chất tác động tâm thần khác
F05.9,"Sảng, không biệt định","Delirium, unspecified","sang khong do ruou va chat tac dong tam than khac | sang, khong biet dinh | sảng không do rượu và chất tác động tâm thần khác"
F06,Rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể,Other mental disorders due to brain damage and dysfunction and to physical disease,roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the
F06.0,Các ảo giác thực tổn,Organic hallucinosis,cac ao giac thuc ton | roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the | rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể
F06.1,Rối loạn căng trương lực thực tổn,Organic catatonic disorder,roi loan cang truong luc thuc ton | roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the | rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể
F06.2,Rối loạn hoang tưởng thực tổn [giống tâm thần phân liệt],Organic delusional [schizophrenia-like] disorder,roi loan hoang tuong thuc ton [giong tam than phan liet] | roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the | rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể
F06.3,Rối loạn khí sắc [cảm xúc] thực tổn,Organic mood [affective] disorders,roi loan khi sac [cam xuc] thuc ton | roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the | rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể
F06.4,Rối loạn lo âu thực tổn,Organic anxiety disorder,roi loan lo au thuc ton | roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the | rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể
F06.5,Rối loạn phân ly thực tổn,Organic dissociative disorder,roi loan phan ly thuc ton | roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the | rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể
F06.6,Rối loạn cảm xúc không ổn định [suy nhược] thực tổn,Organic emotionally labile [asthenic] disorder,roi loan cam xuc khong on dinh [suy nhuoc] thuc ton | roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the | rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể
F06.7,Rối loạn nhận thức nhẹ,Mild cognitive disorder,roi loan nhan thuc nhe | roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the | rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể
F06.8,"Các rối loạn tâm thần biệt định khác do tổn thương não, rối loạn chức năng não và bệnh lý cơ thể",Other specified mental disorders due to brain damage and dysfunction and to physical disease,"cac roi loan tam than biet dinh khac do ton thuong nao, roi loan chuc nang nao va benh ly co the | roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the | rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể"
F06.9,Các rối loạn tâm thần không biệt định do tổn thương não và rối loạn chức năng não và bệnh lý cơ thể,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,cac roi loan tam than khong biet dinh do ton thuong nao va roi loan chuc nang nao va benh ly co the | roi loan tam than khac do ton thuong va roi loan chuc nang nao va do benh co the | rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể
F07,"Các rối loạn nhân cách và hành vi do bệnh lý não, tổn thương não và rối loạn chức năng não","Personality and behavioural disorders due to brain disease, damage and dysfunction","cac roi loan nhan cach va hanh vi do benh ly nao, ton thuong nao va roi loan chuc nang nao"
F07.0,Rối loạn nhân cách thực tổn,Organic personality disorder,"cac roi loan nhan cach va hanh vi do benh ly nao, ton thuong nao va roi loan chuc nang nao | các rối loạn nhân cách và hành vi do bệnh lý não, tổn thương não và rối loạn chức năng não | roi loan nhan cach thuc ton"
F07.1,Hội chứng sau viêm não,Postencephalitic syndrome,"cac roi loan nhan cach va hanh vi do benh ly nao, ton thuong nao va roi loan chuc nang nao | các rối loạn nhân cách và hành vi do bệnh lý não, tổn thương não và rối loạn chức năng não | hoi chung sau viem nao"
F07.2,Hội chứng sau chấn động não,Postconcussional syndrome,"cac roi loan nhan cach va hanh vi do benh ly nao, ton thuong nao va roi loan chuc nang nao | các rối loạn nhân cách và hành vi do bệnh lý não, tổn thương não và rối loạn chức năng não | hoi chung sau chan dong nao"
F07.8,"Rối loạn nhân cách và hành vi thực tổn khác do bệnh não, tổn thương và rối loạn chức năng não","Other organic personality and behavioural disorders due to brain disease, damage and dysfunction","cac roi loan nhan cach va hanh vi do benh ly nao, ton thuong nao va roi loan chuc nang nao | các rối loạn nhân cách và hành vi do bệnh lý não, tổn thương não và rối loạn chức năng não | roi loan nhan cach va hanh vi thuc ton khac do benh nao, ton thuong va roi loan chuc nang nao"
F07.9,"Rối loạn nhân cách và hành vi thực thể không biệt định do bệnh não, tổn thương và rối loạn chức năng não","Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction","cac roi loan nhan cach va hanh vi do benh ly nao, ton thuong nao va roi loan chuc nang nao | các rối loạn nhân cách và hành vi do bệnh lý não, tổn thương não và rối loạn chức năng não | roi loan nhan cach va hanh vi thuc the khong biet dinh do benh nao, ton thuong va roi loan chuc nang nao"
F09,Rối loạn tâm thần thực tổn hoặc triệu chứng không biệt định,Unspecified organic or symptomatic mental disorder,roi loan tam than thuc ton hoac trieu chung khong biet dinh
F10,Rối loạn tâm thần và hành vi do sử dụng rượu,Mental and behavioural disorders due to use of alcohol,roi loan tam than va hanh vi do su dung ruou
F10.0,Rối loạn tâm thần và hành vi do sử dụng rượu (Nhiễm độc cấp),Mental and behavioural disorders due to use of alcohol (Acute intoxication),roi loan tam than va hanh vi do su dung ruou | roi loan tam than va hanh vi do su dung ruou (nhiem doc cap) | rối loạn tâm thần và hành vi do sử dụng rượu
F10.1,Rối loạn tâm thần và hành vi do sử dụng rượu (Sử dụng gây hại),Mental and behavioural disorders due to use of alcohol (Harmful use),roi loan tam than va hanh vi do su dung ruou | roi loan tam than va hanh vi do su dung ruou (su dung gay hai) | rối loạn tâm thần và hành vi do sử dụng rượu
F10.2,Rối loạn tâm thần và hành vi do sử dụng rượu (Hội chứng nghiện),Mental and behavioural disorders due to use of alcohol (Dependence syndrome),roi loan tam than va hanh vi do su dung ruou | roi loan tam than va hanh vi do su dung ruou (hoi chung nghien) | rối loạn tâm thần và hành vi do sử dụng rượu
F10.3,Rối loạn tâm thần và hành vi do sử dụng rượu (Trạng thái cai),Mental and behavioural disorders due to use of alcohol (Withdrawal state),roi loan tam than va hanh vi do su dung ruou | roi loan tam than va hanh vi do su dung ruou (trang thai cai) | rối loạn tâm thần và hành vi do sử dụng rượu
F10.4,Rối loạn tâm thần và hành vi do sử dụng rượu (Trạng thái cai với mê sảng),Mental and behavioural disorders due to use of alcohol (Withdrawal state with delirium),roi loan tam than va hanh vi do su dung ruou | roi loan tam than va hanh vi do su dung ruou (trang thai cai voi me sang) | rối loạn tâm thần và hành vi do sử dụng rượu
F10.5,Rối loạn tâm thần và hành vi do sử dụng rượu (Rối loạn tâm thần),Mental and behavioural disorders due to use of alcohol (Psychotic disorder),roi loan tam than va hanh vi do su dung ruou | roi loan tam than va hanh vi do su dung ruou (roi loan tam than) | rối loạn tâm thần và hành vi do sử dụng rượu
F10.6,Rối loạn tâm thần và hành vi do sử dụng rượu (Hội chứng quên),Mental and behavioural disorders due to use of alcohol (Amnesic syndrome),roi loan tam than va hanh vi do su dung ruou | roi loan tam than va hanh vi do su dung ruou (hoi chung quen) | rối loạn tâm thần và hành vi do sử dụng rượu
F10.7,Rối loạn tâm thần và hành vi do sử dụng rượu (Rối loạn loạn thần di chứng và khởi phát muộn),Mental and behavioural disorders due to use of alcohol (Residual and late-onset psychotic disorder),roi loan tam than va hanh vi do su dung ruou | roi loan tam than va hanh vi do su dung ruou (roi loan loan than di chung va khoi phat muon) | rối loạn tâm thần và hành vi do sử dụng rượu
F10.8,Rối loạn tâm thần và hành vi do sử dụng rượu (Rối loạn tâm thần và hành vi khác),Mental and behavioural disorders due to use of alcohol (Other mental and behavioural disorders),roi loan tam than va hanh vi do su dung ruou | roi loan tam than va hanh vi do su dung ruou (roi loan tam than va hanh vi khac) | rối loạn tâm thần và hành vi do sử dụng rượu
F10.9,Rối loạn tâm thần và hành vi do sử dụng rượu (Rối loạn tâm thần và hành vi không biệt định),Mental and behavioural disorders due to use of alcohol (Unspecified mental and behavioural disorder),roi loan tam than va hanh vi do su dung ruou | roi loan tam than va hanh vi do su dung ruou (roi loan tam than va hanh vi khong biet dinh) | rối loạn tâm thần và hành vi do sử dụng rượu
F11,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện,Mental and behavioural disorders due to use of opioids,roi loan tam than va hanh vi do su dung cac dang thuoc phien
F11.0,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Nhiễm độc cấp),Mental and behavioural disorders due to use of opioids (Acute intoxication),roi loan tam than va hanh vi do su dung cac dang thuoc phien | roi loan tam than va hanh vi do su dung cac dang thuoc phien (nhiem doc cap) | rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F11.1,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Sử dụng gây hại),Mental and behavioural disorders due to use of opioids (Harmful use),roi loan tam than va hanh vi do su dung cac dang thuoc phien | roi loan tam than va hanh vi do su dung cac dang thuoc phien (su dung gay hai) | rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F11.2,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Hội chứng nghiện),Mental and behavioural disorders due to use of opioids (Dependence syndrome),roi loan tam than va hanh vi do su dung cac dang thuoc phien | roi loan tam than va hanh vi do su dung cac dang thuoc phien (hoi chung nghien) | rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F11.3,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Trạng thái cai),Mental and behavioural disorders due to use of opioids (Withdrawal state),roi loan tam than va hanh vi do su dung cac dang thuoc phien | roi loan tam than va hanh vi do su dung cac dang thuoc phien (trang thai cai) | rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F11.4,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Trạng thái cai với mê sảng),Mental and behavioural disorders due to use of opioids (Withdrawal state with delirium),roi loan tam than va hanh vi do su dung cac dang thuoc phien | roi loan tam than va hanh vi do su dung cac dang thuoc phien (trang thai cai voi me sang) | rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F11.5,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Rối loạn tâm thần),Mental and behavioural disorders due to use of opioids (Psychotic disorder),roi loan tam than va hanh vi do su dung cac dang thuoc phien | roi loan tam than va hanh vi do su dung cac dang thuoc phien (roi loan tam than) | rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F11.6,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Hội chứng quên),Mental and behavioural disorders due to use of opioids (Amnesic syndrome),roi loan tam than va hanh vi do su dung cac dang thuoc phien | roi loan tam than va hanh vi do su dung cac dang thuoc phien (hoi chung quen) | rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F11.7,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Rối loạn loạn thần di chứng và khởi phát muộn),Mental and behavioural disorders due to use of opioids (Residual and late-onset psychotic disorder),roi loan tam than va hanh vi do su dung cac dang thuoc phien | roi loan tam than va hanh vi do su dung cac dang thuoc phien (roi loan loan than di chung va khoi phat muon) | rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F11.8,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Rối loạn tâm thần và hành vi khác),Mental and behavioural disorders due to use of opioids (Other mental and behavioural disorders),roi loan tam than va hanh vi do su dung cac dang thuoc phien | roi loan tam than va hanh vi do su dung cac dang thuoc phien (roi loan tam than va hanh vi khac) | rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F11.9,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Rối loạn tâm thần và hành vi không biệt định),Mental and behavioural disorders due to use of opioids (Unspecified mental and behavioural disorder),roi loan tam than va hanh vi do su dung cac dang thuoc phien | roi loan tam than va hanh vi do su dung cac dang thuoc phien (roi loan tam than va hanh vi khong biet dinh) | rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F12,Rối loạn tâm thần và hành vi do sử dụng cần sa,Mental and behavioural disorders due to use of cannabinoids,roi loan tam than va hanh vi do su dung can sa
