code,tên bệnh VI,tên bệnh EN,synonym
A04.6,Viêm ruột do Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,nhiem trung duong ruot do vi khuan khac | nhiễm trùng đường ruột do vi khuẩn khác | viem ruot do yersinia enterocolitica
A04.7,Viêm ruột do Clostridium difficile,Enterocolitis due to Clostridium difficile,nhiem trung duong ruot do vi khuan khac | nhiễm trùng đường ruột do vi khuẩn khác | viem ruot do clostridium difficile
A04.8,Nhiễm trùng đường ruột do vi khuẩn xác định khác,Other specified bacterial intestinal infections,nhiem trung duong ruot do vi khuan khac | nhiem trung duong ruot do vi khuan xac dinh khac | nhiễm trùng đường ruột do vi khuẩn khác
A04.9,"Nhiễm trùng đường ruột do vi khuẩn, không xác định","Bacterial intestinal infection, unspecified","nhiem trung duong ruot do vi khuan khac | nhiem trung duong ruot do vi khuan, khong xac dinh | nhiễm trùng đường ruột do vi khuẩn khác"
A05,"Nhiễm độc thức ăn do vi trùng khác, chưa phân loại nơi khác (NEC)","Other bacterial foodborne intoxications, not elsewhere classified","nhiem doc thuc an do vi trung khac, chua phan loai noi khac (nec)"
A05.0,Nhiễm độc thức ăn do độc tố của tụ cầu,Foodborne staphylococcal intoxication,"nhiem doc thuc an do doc to cua tu cau | nhiem doc thuc an do vi trung khac, chua phan loai noi khac (nec) | nhiễm độc thức ăn do vi trùng khác, chưa phân loại nơi khác (nec)"
A05.1,Bệnh ngộ độc thịt (ngộ độc đồ hộp),Botulism,"benh ngo doc thit (ngo doc do hop) | ngo doc thit (ngo doc do hop) | ngộ độc thịt (ngộ độc đồ hộp) | nhiem doc thuc an do vi trung khac, chua phan loai noi khac (nec) | nhiễm độc thức ăn do vi trùng khác, chưa phân loại nơi khác (nec)"
A05.2,Nhiễm độc thức ăn do độc tố của Clostridium perfringens [Clostridium welchii],Foodborne Clostridium perfringens [Clostridium welchii] intoxication,"nhiem doc thuc an do doc to cua clostridium perfringens [clostridium welchii] | nhiem doc thuc an do vi trung khac, chua phan loai noi khac (nec) | nhiễm độc thức ăn do vi trùng khác, chưa phân loại nơi khác (nec)"
A05.3,Nhiễm độc thức ăn do độc tố của Vibrio parahaemolyticus,Foodborne Vibrio parahaemolyticus intoxication,"nhiem doc thuc an do doc to cua vibrio parahaemolyticus | nhiem doc thuc an do vi trung khac, chua phan loai noi khac (nec) | nhiễm độc thức ăn do vi trùng khác, chưa phân loại nơi khác (nec)"
A05.4,Nhiễm độc thức ăn do độc tố của Bacillus cereus,Foodborne Bacillus cereus intoxication,"nhiem doc thuc an do doc to cua bacillus cereus | nhiem doc thuc an do vi trung khac, chua phan loai noi khac (nec) | nhiễm độc thức ăn do vi trùng khác, chưa phân loại nơi khác (nec)"
A05.8,Nhiễm độc thức ăn do độc tố của vi khuẩn xác định khác,Other specified bacterial foodborne intoxications,"nhiem doc thuc an do doc to cua vi khuan xac dinh khac | nhiem doc thuc an do vi trung khac, chua phan loai noi khac (nec) | nhiễm độc thức ăn do vi trùng khác, chưa phân loại nơi khác (nec)"
A05.9,"Nhiễm độc thức ăn do vi khuẩn, không xác định","Bacterial foodborne intoxication, unspecified","nhiem doc thuc an do vi khuan, khong xac dinh | nhiem doc thuc an do vi trung khac, chua phan loai noi khac (nec) | nhiễm độc thức ăn do vi trùng khác, chưa phân loại nơi khác (nec)"
A06,Bệnh do amíp,Amoebiasis,benh do amip | do amip | do amíp
A06.0,Bệnh lỵ amíp cấp,Acute amoebic dysentery,benh do amip | benh ly amip cap | bệnh do amíp | do amip | do amíp | ly amip cap | lỵ amíp cấp
A06.1,Bệnh lỵ amíp đường ruột mạn tính,Chronic intestinal amoebiasis,benh do amip | benh ly amip duong ruot man tinh | bệnh do amíp | do amip | do amíp | ly amip duong ruot man tinh | lỵ amíp đường ruột mạn tính
A06.2,Viêm đại tràng do amíp không gây hội chứng lỵ,Amoebic nondysenteric colitis,benh do amip | bệnh do amíp | do amip | do amíp | viem dai trang do amip khong gay hoi chung ly
A06.3,U do amíp đường ruột,Amoeboma of intestine,benh do amip | bệnh do amíp | do amip | do amíp | u do amip duong ruot
A06.4,Áp xe gan do amíp,Amoebic liver abscess,ap xe gan do amip | benh do amip | bệnh do amíp | do amip | do amíp
A06.5†,Áp xe phổi do amíp (J99.8*),Amoebic lung abscess (J99.8*),ap xe phoi do amip (j99.8*) | benh do amip | bệnh do amíp | do amip | do amíp
A06.6†,Áp xe não do amíp (G07*),Amoebic brain abscess (G07*),ap xe nao do amip (g07*) | benh do amip | bệnh do amíp | do amip | do amíp
A06.7,Nhiễm amíp ở da,Cutaneous amoebiasis,benh do amip | bệnh do amíp | do amip | do amíp | nhiem amip o da
A06.8†,Nhiễm amíp ở vị trí khác,Amoebic infection of other sites,benh do amip | bệnh do amíp | do amip | do amíp | nhiem amip o vi tri khac
